palabra,Action_Mean,Action_SD,BodyExp_Mean,BodyExp_SD,Evaluation _Mean,Evaluation _SD,Feeling_Mean,Feeling_SD,Interoception_Mean,Interoception_SD,Morality_Mean,Morality_SD,SenExp_Mean,SenExp_SD,SocInt_Mean,SocInt_SD,Thought_Mean,Thought_SD,palabra_noaccents
aborrecido,3.6666666666666665,2.081665999466133,3.25,1.8883298106221302,2.55,1.848897253129978,4.619047619047619,2.1558337244831867,4.260869565217392,1.9121000188832795,2.7142857142857144,1.647508942095828,3.772727272727273,1.5097088392205895,3.761904761904762,2.0713464679952,3.869565217391304,2.05170323536517,aborrecido
aborrecimiento,4.190476190476191,2.1591444513753038,4,2,2.9047619047619047,2.047065262876636,5.6,1.902906364375017,4.3478260869565215,1.5257992138897958,3.7142857142857144,2.02837021134844,3.45,1.731290969494334,3.1052631578947367,1.6294081011931656,4.333333333333333,1.7981471945681573,aborrecimiento
abrumado,3.6956521739130435,2.0545909260769615,4.3,1.866604008973459,4,1.7489492643904123,5.157894736842105,1.9224740395512598,5.130434782608695,1.9141660378748124,3.5555555555555554,1.6169041669088868,,,4.6,1.788854381999832,5.086956521739131,1.083472677771923,abrumado
abrumarse,4.277777777777778,1.4874200148759573,4.285714285714286,2.0770858707058104,3.210526315789474,1.843274482738111,5.45,1.8202082009311036,5.285714285714286,1.3835771443203724,3.6,1.7591864148251213,4.7272727272727275,1.8563101696342252,3.6666666666666665,1.8786728732554485,4.9,1.209610637658599,abrumarse
aburrido,4.52,2.32952069462082,4.260869565217392,2.157805941741156,3.8,1.8524521444205841,4.85,1.9808291724745768,4.304347826086956,1.964104760414124,3.4761904761904763,1.6917165134574887,,,4.1,1.8609561775433732,5.043478260869565,1.521908516829062,aburrido
aburrimiento,3.5652173913043477,2.0632297487307203,3.5217391304347827,1.8307863491206402,3.3181818181818183,1.9853358510736772,4.454545454545454,2.344746361088017,4.7,1.6575187543592473,2.5833333333333335,1.8630658852422861,3.590909090909091,1.9188064472004938,4.3,1.9493588689617927,4.238095238095238,1.757975025555309,aburrimiento
aburrirse,4.4,2.29128784747792,4.521739130434782,2.2737547084741356,3.75,1.7129537431920892,4.25,2.1490511982341367,4.521739130434782,1.9509802947933477,3.5714285714285716,2.038907270363922,,,3.95,1.848897253129978,4.869565217391305,1.6040955487888704,aburrirse
acalorado,3.3,1.866604008973459,5.391304347826087,1.802501555535393,3.142857142857143,1.3522468075656267,3.0454545454545454,1.8381479480139458,5.333333333333333,1.4605934866804424,2.3636363636363638,1.7874018000453045,4.956521739130435,2.1421794524091835,2.6666666666666665,1.8529256146249726,2.4285714285714284,1.8322507626258084,acalorado
acalorarse,3.9545454545454546,2.081146037924497,5.380952380952381,1.8021151593666394,2.625,1.7646898976258147,3.727272727272727,1.8304779022564985,4.769230769230769,2.065094521956655,2.5217391304347827,1.903813522605025,5.136363636363637,1.2457720706244997,3.142857142857143,1.98206241793023,3.5,1.877848713148555,acalorarse
aceptación,4.7727272727272725,1.8239626714491246,5.363636363636363,1.787401800045305,5.619047619047619,1.3592715135759479,5.409090909090909,1.9188064472004946,4.0,1.5322617553657476,5.666666666666667,1.4605934866804424,,,5.9,1.1192102478745296,5.666666666666667,1.23827837473378,aceptacion
aceptado,4.72,2.0108041509140895,4.565217391304348,1.8046930475976881,5.65,1.1367080817685307,4.8,1.8524521444205841,4.086956521739131,1.8318655041504666,5,1.6431676725154984,4.045454545454546,1.430193883868388,5.9,1.2937094768634547,5.043478260869565,1.5805137504669224,aceptado
aceptar,3.857142857142857,1.9566735620873064,4.090909090909091,2.2658771224846097,5.428571428571429,1.4342743312012718,3.4761904761904763,2.1821789023599236,3.0434782608695654,2.120854477661072,5.333333333333333,1.6532795690182986,2.6363636363636362,1.7333000329801544,4.095238095238095,1.6704718466577608,5.304347826086956,1.6904755277381038,aceptar
aclamado,4.222222222222222,1.8328876463610653,3.65,1.9540780569443943,4,1.7638342073763937,4.315789473684211,1.8871681188415435,3.8181818181818183,1.8679340162804168,4,1.4142135623730951,4.0476190476190474,1.9098740920854045,4.1,2.2687812633774618,3.5652173913043477,2.0410800829801707,aclamado
aclamar,4.095238095238095,2.343176517139968,3.35,1.3088765773505318,4.105263157894737,1.3289401308354822,3.0952380952380953,1.786190412715338,2.2222222222222223,1.262842524557225,3.2083333333333335,1.8876985450811392,,,3.8421052631578947,1.5727950313140988,3.0588235294117645,1.784327192364608,aclamar
acobardarse,4.65,1.565247584249853,4.6521739130434785,1.555304578536246,2.6666666666666665,1.8797162906495577,5.2272727272727275,1.8239626714491246,4.238095238095238,2.119074371152695,3.409090909090909,2.1747269321542944,4.0,1.6858544608470492,3.85,1.8431951662948316,4.619047619047619,1.6874889770363088,acobardarse
acogedor,4.25,1.8708286933869707,4.739130434782608,1.7377464849194204,5.631578947368421,1.116070802004837,4.5,2.039091645032686,4.0,1.7837651700316894,4.476190476190476,2.2275333357561142,,,5.7,1.5927467172350915,4.304347826086956,1.8447661248342482,acogedor
acogido,3.6666666666666665,1.9832633040858025,3.8181818181818183,1.789822115033559,5.7,1.1742858972248005,5.2,1.3218806379747885,4.181818181818182,2.1522162140534653,4.8,1.9084300519426678,3.85,1.899445902583726,5.333333333333333,1.7416467303484169,3.3636363636363638,1.760558746411803,acogido
acomplejado,3.9545454545454546,2.1486933510585255,5.7272727272727275,1.6954229190555596,2.4761904761904763,2.0644381225662256,5.863636363636363,1.5521246435421707,5.541666666666667,1.2503622663458183,4.142857142857143,2.197401062294143,4.2,1.3992479182911457,4.05,2.0894471693929497,5.476190476190476,1.4359334113755968,acomplejado
acomplejarse,3.619047619047619,2.1325147238926743,5.136363636363637,2.144660136144443,2.9,2.4039441275580957,4.9523809523809526,1.9098740920854045,4.782608695652174,1.6224706675911513,4.0476190476190474,2.085094493690645,4.0,2.138089935299395,4.380952380952381,2.085094493690645,4.695652173913044,1.9408241597250206,acomplejarse
acongojado,4.466666666666667,1.8073922282301282,3.411764705882353,2.265469695488437,3.3846153846153846,1.980675875320574,5.769230769230769,1.964427234329223,5.421052631578948,1.1212983285105125,2.625,1.408308678285174,3.6842105263157894,1.7966831037883662,3.5,1.6538724611187705,3.7222222222222223,2.2701530281551134,acongojado
acongojarse,4.1875,1.6418993066973788,3.8333333333333335,2.037526724122938,3.55,1.9861361590045288,4.470588235294118,2.153997651426979,5.125,1.8012676695569996,2.8666666666666667,1.9223002094465098,4.0,1.8786728732554485,3.2857142857142856,1.3827826698682308,4.0625,1.4361406616345072,acongojarse
acosado,5.04,2.2075627586397935,4.478260869565218,2.04204810773603,3.05,2.6650762801367183,4.55,2.4165002967536595,4.260869565217392,2.0936568987028807,2.5714285714285716,1.804755622554715,4.636363636363637,2.300009410859723,4.1,2.4039441275580957,4.956521739130435,1.521908516829062,acosado
acosar,4.9523809523809526,2.0118695404073916,3.9545454545454546,2.298597351331847,2.761904761904762,2.343176517139968,3.380952380952381,2.355338414669758,3.652173913043478,2.3278686243033153,2.3333333333333335,1.9832633040858023,,,4.9523809523809526,2.0118695404073916,3.347826086956522,2.2884829364008,acosar
acoso,5.619047619047619,1.6874889770363088,4.7272727272727275,2.453021813461107,2.619047619047619,2.376471974928181,4.818181818181818,2.4031004504372624,4.291666666666667,2.510485258248703,3.1904761904761907,2.5023798196726177,4.956521739130435,2.2254368492411714,4.45,2.282081229238369,3.9047619047619047,2.142539659020619,acoso
activación,5.15,1.5985190514644279,5.173913043478261,1.969129339513082,5.380952380952381,1.430950400125402,4.681818181818182,1.728923795075274,5.190476190476191,1.9395630337539327,4.2272727272727275,1.9006720160390937,4.217391304347826,1.9530051840719362,3.1904761904761907,2.1358615970855324,4.428571428571429,1.9892568605242658,activacion
