palabra,ico-m,ico-sd,palabra_noaccents
cencerro,4.333,2.22,cencerro
censo,2.45,1.432,censo
censura,3.48,1.982,censura
censurar,3.6,1.893,censurar
centavo,2.76,1.48,centavo
centenar,3.5,2.039,centenar
centenares,2.364,1.761,centenares
centenario,3.238,2.095,centenario
centenas,3.136,2.167,centenas
centeno,2.5,1.818,centeno
centésima,3.476,1.861,centesima
céntimos,2.6,1.443,centimos
centinela,3.24,1.943,centinela
central,3.273,1.956,central
centralismo,2.955,1.988,centralismo
centralista,2.81,1.99,centralista
centralización,3.24,1.589,centralizacion
centrar,3.0,1.826,centrar
céntrica,2.955,1.759,centrica
centrista,1.95,1.432,centrista
centro,3.28,1.926,centro
centroamericano,3.88,2.147,centroamericano
centrocampista,4.143,2.351,centrocampista
cenutrio,2.105,1.912,cenutrio
ceñir,3.48,1.686,cenir
ceño,2.708,2.053,ceno
cepa,1.625,1.056,cepa
ceporro,3.478,2.064,ceporro
cera,2.6,1.667,cera
cerámica,3.64,2.177,ceramica
cerca,2.19,1.537,cerca
cercanía,3.263,1.939,cercania
cercano,4.429,1.938,cercano
cerciorar,2.727,1.856,cerciorar
cerco,3.565,2.041,cerco
cerda,3.0,1.756,cerda
cerdo,4.05,2.685,cerdo
cereal,1.524,1.123,cereal
cerebelo,2.727,1.882,cerebelo
cerebral,3.318,1.937,cerebral
cerebro,2.095,1.609,cerebro
ceremonia,2.19,1.721,ceremonia
ceremonial,2.476,1.504,ceremonial
cerezas,2.64,1.777,cerezas
cerezo,2.091,1.269,cerezo
cernícalo,2.467,1.727,cernicalo
cero,2.9,2.269,cero
cerrada,2.318,1.615,cerrada
cerrado,3.84,1.841,cerrado
cerradura,3.81,2.159,cerradura
cerrajero,3.227,2.022,cerrajero
cerrar,3.158,1.951,cerrar
cerro,2.25,1.803,cerro
cerrojo,3.2,2.067,cerrojo
certamen,2.571,1.66,certamen
certero,2.56,1.66,certero
certidumbre,1.952,1.203,certidumbre
certificación,2.083,1.886,certificacion
certificado,2.64,2.158,certificado
certificar,3.56,2.162,certificar
cervical,3.24,2.067,cervical
cesar,2.429,1.912,cesar
césar,3.08,1.998,cesar
cese,2.84,2.115,cese
cesión,2.5,1.566,cesion
cesto,2.095,1.7,cesto
cetro,2.952,1.687,cetro
chabola,3.0,2.0,chabola
chacarrachaca,5.273,1.954,chacarrachaca
chachachá,5.95,1.432,chachacha
chafar,4.105,1.853,chafar
chakra,3.048,1.91,chakra
chal,2.35,1.226,chal
chalado,2.5,1.792,chalado
chalé,4.565,1.95,chale
chamán,3.5,2.018,chaman
chancla,2.652,1.991,chancla
chancleta,3.875,1.825,chancleta
chantajear,3.333,1.949,chantajear
chapa,2.667,1.713,chapa
chaparrón,4.4,1.984,chaparron
chapas,3.286,1.848,chapas
chapatal,3.188,2.073,chapatal
chapero,3.188,2.136,chapero
chapotear,4.818,2.085,chapotear
chaquetón,4.36,1.705,chaqueton
charamusca,4.0,2.16,charamusca
charanga,3.611,1.975,charanga
charco,4.28,1.948,charco
charcutero,4.333,1.742,charcutero
charla,3.8,2.021,charla
charlestón,3.095,2.047,charleston
chascar,4.583,2.32,chascar
chasco,2.8,1.936,chasco
chat,3.32,2.212,chat
chatarra,4.091,2.068,chatarra
chaval,2.136,1.552,chaval
checo,2.565,2.293,checo
chelo,2.52,1.531,chelo
chequeo,3.9,2.198,chequeo
chicha,4.44,1.96,chicha
chicharra,5.45,1.356,chicharra
chicharrar,4.864,2.031,chicharrar
chicharro,1.952,1.322,chicharro
chichi,3.708,2.136,chichi
chiflado,3.87,2.029,chiflado
chile,2.455,1.969,chile
chilenas,2.619,1.962,chilenas
chileno,2.583,2.083,chileno
chinar,3.286,2.125,chinar
chinchín,6.522,1.275,chinchin
chingar,2.588,1.622,chingar
chinglar,2.167,1.329,chinglar
chino,3.286,2.348,chino
chip,4.864,1.583,chip
chipriota,3.211,2.371,chipriota
chiquilla,4.783,2.066,chiquilla
chiquillo,4.571,2.039,chiquillo
chiquito,5.52,1.96,chiquito
chirimoya,2.15,1.843,chirimoya
chirriar,5.227,1.688,chirriar
chis,4.824,2.378,chis
chischás,4.688,1.621,chischas
chispa,5.174,1.85,chispa
chispear,5.88,1.453,chispear
chistar,4.0,2.317,chistar
chistes,2.0,1.376,chistes
chitón,5.727,1.579,chiton
chivo,2.864,1.885,chivo
choca,5.053,1.84,choca
chocante,5.48,1.388,chocante
chocar,4.8,1.683,chocar
chocho,2.458,1.587,chocho
chofer,3.13,1.766,chofer
chorcha,3.222,2.635,chorcha
chorra,2.85,2.11,chorra
chorro,4.5,1.871,chorro
choza,3.9,1.861,choza
chubasco,4.818,1.763,chubasco
chubasquero,2.737,1.759,chubasquero
chucho,1.909,1.477,chucho
chulo,3.76,1.763,chulo
chumino,2.529,1.7,chumino
chupapollas,4.478,2.294,chupapollas
chupar,3.455,2.017,chupar
chupasangre,3.478,1.855,chupasangre
chupito,4.05,2.417,chupito
churrar,3.286,2.091,churrar
churrasco,2.8,1.756,churrasco
churro,3.76,1.921,churro
churruscar,3.941,1.56,churruscar
chuscar,2.833,1.88,chuscar
chusma,3.56,2.219,chusma
cían,1.95,1.731,cian
cianuro,2.25,1.803,cianuro
ciberespacio,2.714,1.736,ciberespacio
cibernética,3.652,2.288,cibernetica
cíclico,3.696,1.917,ciclico
ciclismo,3.48,1.686,ciclismo
ciclista,3.048,2.085,ciclista
ciclomotor,4.042,1.805,ciclomotor
ciego,3.36,2.119,ciego
cien,3.958,2.293,cien
ciencia,2.136,1.521,ciencia
ciento,2.75,1.97,ciento
cierne,1.643,0.929,cierne
cierrabares,3.833,1.88,cierrabares
cierre,4.0,1.794,cierre
cierta,3.0,2.236,cierta
cierto,2.773,2.045,cierto
cifra,2.524,1.806,cifra
cifrar,3.429,2.181,cifrar
cigarra,2.545,1.738,cigarra
cigarro,2.64,1.89,cigarro
cilíndrico,3.682,2.438,cilindrico
cilindro,2.81,1.806,cilindro
cima,3.826,2.249,cima
cimiento,1.409,0.908,cimiento
cinc,2.714,2.217,cinc
cincel,3.667,1.932,cincel
cinco,2.087,1.703,cinco
cincuenta,2.682,2.147,cincuenta
cineasta,3.409,1.992,cineasta
cinematografía,2.591,1.843,cinematografia
cinematográfica,3.25,2.048,cinematografica
cinética,3.083,1.932,cinetica
cínico,2.571,1.599,cinico
cinismo,3.45,2.212,cinismo
cinta,2.381,1.532,cinta
cinto,1.842,1.167,cinto
cintura,2.81,1.914,cintura
cipote,2.667,2.036,cipote
ciprés,2.895,2.331,cipres
circonita,2.667,1.645,circonita
circuito,3.217,1.833,circuito
circulante,4.2,2.062,circulante
circular,3.2,2.042,circular
circulatorio,2.36,1.777,circulatorio
circundante,1.909,1.231,circundante
circundar,3.25,2.005,circundar
circunferencia,3.333,2.176,circunferencia
circunscripción,2.9,1.861,circunscripcion
circunstancia,2.4,1.528,circunstancia
circunvalación,2.75,1.713,circunvalacion
cirrosis,2.105,1.449,cirrosis
ciruela,1.81,1.289,ciruela
ciruelo,2.174,1.527,ciruelo
cisterna,3.04,1.767,cisterna
cistitis,3.88,1.764,cistitis
citación,2.238,1.895,citacion
citar,2.238,1.868,citar
citoplasma,2.619,1.91,citoplasma
ciudadana,2.182,1.5,ciudadana
ciudadanía,2.591,1.869,ciudadania
ciudadano,3.125,1.963,ciudadano
ciudadela,3.6,1.78,ciudadela
cívica,2.333,1.435,civica
civil,3.16,1.772,civil
clamar,3.88,1.764,clamar
clamor,3.75,1.997,clamor
clan,2.88,1.74,clan
clandestina,2.458,1.474,clandestina
clandestinidad,2.571,1.66,clandestinidad
claqué,5.19,1.914,claque
clara,3.88,2.007,clara
clarificación,3.72,1.745,clarificacion
clarificar,3.36,1.977,clarificar
clarín,2.5,1.829,clarin
clarinete,3.0,1.784,clarinete
clarividencia,2.105,1.524,clarividencia
claro,3.636,2.013,claro
clásica,2.238,1.221,clasica
clasicismo,2.409,1.79,clasicismo
clásico,3.375,1.996,clasico
clasificación,3.32,2.056,clasificacion
clasificar,2.609,1.644,clasificar
clasificatoria,2.955,2.126,clasificatoria
claustro,2.56,1.938,claustro
cláusula,2.609,1.672,clausula
clausura,2.545,1.471,clausura
clausurar,3.048,1.774,clausurar
clavar,4.273,1.882,clavar
clave,2.88,1.81,clave
claves,2.143,1.558,claves
clavícula,1.952,1.359,clavicula
clavo,4.32,1.819,clavo
clemencia,2.625,1.857,clemencia
clemente,1.632,1.116,clemente
clerecía,2.714,1.773,clerecia
clerical,2.0,1.054,clerical
clérigo,1.909,1.342,clerigo
clero,2.36,1.8,clero
clic,6.913,0.288,clic
clientela,1.636,0.848,clientela
climático,2.947,1.779,climatico
clínica,2.739,1.864,clinica
clip,3.773,2.224,clip
clítoris,2.52,2.104,clitoris
clonación,2.909,1.77,clonacion
cloro,2.5,1.769,cloro
cloruro,2.174,1.775,cloruro
club,2.88,1.833,club
coagulación,3.13,1.792,coagulacion
coalición,2.0,1.447,coalicion
coartada,2.476,1.834,coartada
coautor,3.2,1.893,coautor
cobalto,1.652,1.112,cobalto
cobardía,2.565,1.472,cobardia
cobaya,1.667,0.796,cobaya
cobertizo,2.304,1.396,cobertizo
cobertura,1.19,0.873,cobertura
cobijo,2.632,1.606,cobijo
cobra,2.957,2.184,cobra
cobre,3.0,2.16,cobre
cobro,1.92,1.077,cobro
cocción,3.64,2.177,coccion
cochecito,3.095,2.234,cochecito
cochera,2.909,1.998,cochera
cochero,2.6,1.528,cochero
cocido,2.9,1.861,cocido
cociente,2.0,1.732,cociente
cocinar,3.96,1.947,cocinar
cocinera,2.773,1.926,cocinera
cocinilla,2.75,1.682,cocinilla
cocinita,3.92,2.12,cocinita
cocotero,4.667,1.97,cocotero
cóctel,3.4,1.756,coctel
códice,2.64,1.729,codice
codificación,2.8,1.826,codificacion
codificar,2.4,1.683,codificar
codorniz,1.429,0.676,codorniz
coeficiente,2.44,1.66,coeficiente
coerción,2.696,1.845,coercion
coexistencia,2.64,1.977,coexistencia
coexistir,2.762,1.64,coexistir
cofinanciación,2.042,1.628,cofinanciacion
cofradía,2.667,1.857,cofradia
cofre,2.091,1.571,cofre
cofundador,1.762,1.446,cofundador
coger,1.667,1.155,coger
cogida,2.88,2.027,cogida
cogido,2.826,1.969,cogido
cognición,2.625,1.583,cognicion
cognitiva,1.682,1.249,cognitiva
cogollo,3.0,1.654,cogollo
cogote,2.045,1.214,cogote
cohecho,2.444,1.617,cohecho
coherencia,2.96,1.67,coherencia
coherente,2.478,1.534,coherente
cohesión,3.083,1.998,cohesion
cohete,2.05,1.572,cohete
coincidencia,2.84,1.886,coincidencia
coincidente,2.76,1.943,coincidente
coincidir,2.591,1.652,coincidir
coja,3.76,1.921,coja
cojón,3.762,2.071,cojon
cojones,3.667,2.239,cojones
cojonudo,3.045,1.786,cojonudo
col,2.2,1.642,col
colaborador,2.238,1.411,colaborador
colaboradora,3.84,2.075,colaboradora
colaborar,3.16,1.993,colaborar
colación,2.611,1.501,colacion
colador,3.136,2.167,colador
colar,1.864,1.67,colar
colateral,2.818,1.816,colateral
colcha,2.48,1.759,colcha
colchón,4.24,1.739,colchon
colchoneta,3.609,1.948,colchoneta
cole,2.783,1.882,cole
colección,3.25,1.832,coleccion
coleccionar,3.391,2.19,coleccionar
coleccionista,2.88,1.74,coleccionista
colecta,2.167,1.689,colecta
colectividad,4.381,1.83,colectividad
colectivo,2.227,1.875,colectivo
colega,3.087,1.881,colega
colegiado,2.65,1.927,colegiado
colegial,3.08,1.754,colegial
colegiata,2.789,1.813,colegiata
colegio,2.52,1.982,colegio
colesterol,2.818,1.532,colesterol
colgador,3.158,1.893,colgador
colgante,3.458,1.978,colgante
colgar,2.227,1.478,colgar
cólico,3.381,1.91,colico
colina,2.429,1.69,colina
colindante,1.733,1.58,colindante
colindar,3.062,1.843,colindar
coliseo,3.273,1.907,coliseo
colisión,3.727,2.004,colision
collado,2.211,1.548,collado
colmar,2.8,1.735,colmar
colmena,2.1,1.619,colmena
colmo,3.667,1.798,colmo
colocación,3.04,2.01,colocacion
colocar,2.88,2.007,colocar
colofón,3.64,2.018,colofon
colombiano,3.3,2.029,colombiano
colon,1.409,0.666,colon
colonial,2.56,1.502,colonial
colonialismo,2.6,1.5,colonialismo
colonización,2.96,2.091,colonizacion
colonizar,2.88,1.716,colonizar
colono,2.85,1.631,colono
coloquial,3.04,1.814,coloquial
coloquio,2.833,1.886,coloquio
coloración,3.619,1.962,coloracion
colorante,3.364,2.421,colorante
colores,3.136,2.253,colores
colorido,4.4,2.257,colorido
colorín,3.368,1.77,colorin
colosal,4.25,2.359,colosal
coloso,3.176,2.157,coloso
columnas,3.8,2.546,columnas
columnista,3.167,2.176,columnista
comadre,2.625,1.813,comadre
comandancia,3.042,1.829,comandancia
comandante,2.435,1.805,comandante
comandar,3.68,1.676,comandar
comando,3.0,2.052,comando
comarca,2.08,1.706,comarca
comarcal,3.25,2.173,comarcal
comas,2.68,1.842,comas
comba,3.227,2.069,comba
combate,3.2,1.732,combate
combatiente,2.895,1.663,combatiente
combatir,3.13,1.842,combatir
combativo,2.35,1.725,combativo
combinado,2.917,1.64,combinado
combinar,3.429,1.502,combinar
combustible,2.333,1.494,combustible
combustión,3.087,1.881,combustion
comeculos,3.81,2.159,comeculos
comediante,2.304,1.521,comediante
comemierda,3.957,1.965,comemierda
comendador,1.385,0.87,comendador
comentar,2.333,1.713,comentar
comentarista,3.263,1.851,comentarista
comercial,3.08,1.935,comercial
comercialización,1.905,1.64,comercializacion
comercializar,3.762,2.071,comercializar
comerciante,2.286,1.454,comerciante
comerciar,2.435,1.502,comerciar
comestible,4.36,1.8,comestible
cometer,1.619,0.74,cometer
cometido,1.739,1.287,cometido
cómic,2.364,1.649,comic
comicidad,1.133,0.352,comicidad
comienzo,2.333,1.494,comienzo
comillas,2.636,1.941,comillas
comino,2.952,1.936,comino
comisaria,2.88,1.81,comisaria
comisaría,2.045,1.558,comisaria
comisario,2.208,1.444,comisario
comisión,2.28,1.339,comision
comité,2.714,1.309,comite
comitiva,2.4,1.732,comitiva
cómo,2.625,2.039,como
cómoda,2.84,1.908,comoda
comodín,2.714,1.793,comodin
compacta,4.72,1.671,compacta
compacto,4.2,2.198,compacto
compadre,2.87,1.866,compadre
compaginar,3.45,2.114,compaginar
compaña,2.818,1.893,compana
compañera,3.56,2.293,companera
comparable,1.905,1.446,comparable
comparación,3.12,2.088,comparacion
comparar,2.9,1.714,comparar
comparativo,2.435,1.59,comparativo
comparecencia,2.25,1.327,comparecencia
comparecer,2.333,1.354,comparecer
comparsa,2.75,1.648,comparsa
compartimento,2.435,1.701,compartimento
compartimiento,2.76,2.107,compartimiento
compás,4.2,2.198,compas
compatibilidad,4.286,1.875,compatibilidad
compatible,3.3,1.867,compatible
compatriota,3.391,1.924,compatriota
compendio,2.133,1.246,compendio
compensación,2.917,1.976,compensacion
compensar,3.48,1.686,compensar
compensatoria,2.348,1.968,compensatoria
competencia,2.9,1.997,competencia
competencial,1.682,1.211,competencial
competer,3.19,2.015,competer
competición,2.773,1.631,competicion
competidor,3.0,1.915,competidor
competir,2.68,1.676,competir
competitiva,1.864,1.39,competitiva
competitividad,2.5,1.792,competitividad
compilación,2.538,1.561,compilacion
compilador,1.214,0.802,compilador
complacencia,2.15,1.531,complacencia
complaciente,2.545,1.335,complaciente
compleja,2.875,2.05,compleja
complejidad,3.125,1.825,complejidad
complementar,2.739,1.982,complementar
complementaria,2.64,1.68,complementaria
complementariedad,2.708,1.681,complementariedad
complemento,3.857,2.104,complemento
completar,3.32,1.796,completar
completo,2.364,1.941,completo
complexión,3.4,2.0,complexion
complicar,2.208,1.25,complicar
cómplice,2.625,1.555,complice
complicidad,2.6,1.759,complicidad
complot,3.0,1.799,complot
componente,1.19,0.873,componente
componer,2.864,1.859,componer
comportamiento,2.8,1.607,comportamiento
comportar,2.32,1.52,comportar
composición,3.16,1.818,composicion
compostura,1.19,0.512,compostura
compra,2.88,1.81,compra
comprador,2.261,1.421,comprador
comprar,3.32,2.193,comprar
compraventa,2.435,1.562,compraventa
comprender,1.773,1.412,comprender
comprensible,2.792,1.865,comprensible
comprensivo,2.217,1.506,comprensivo
compresor,2.826,1.723,compresor
comprobación,2.8,2.0,comprobacion
comprobar,2.261,1.63,comprobar
comprometer,2.143,1.352,comprometer
compuerta,2.92,1.754,compuerta
compuesto,3.0,2.023,compuesto
computación,2.292,1.574,computacion
computacional,2.864,1.67,computacional
computador,3.875,2.05,computador
computadora,2.92,1.869,computadora
cómputo,2.64,1.63,computo
común,2.8,1.765,comun
comuna,2.227,1.378,comuna
comunal,1.947,1.079,comunal
comunicado,1.381,1.161,comunicado
comunicar,2.7,1.72,comunicar
comunicativa,3.84,2.055,comunicativa
comunión,2.32,1.6,comunion
comunismo,2.32,1.464,comunismo
comunista,3.45,1.932,comunista
comunitario,3.143,2.265,comunitario
concebible,2.435,1.805,concebible
concebir,2.286,1.384,concebir
conceder,2.667,1.623,conceder
concejal,3.12,2.166,concejal
concejo,1.706,0.686,concejo
concentración,3.087,1.952,concentracion
concentrar,2.524,1.662,concentrar
concepción,1.95,1.276,concepcion
concepto,2.042,0.999,concepto
conceptual,2.619,1.465,conceptual
concerniente,1.905,1.446,concerniente
concernir,1.773,0.922,concernir
concertación,2.478,1.563,concertacion
concertar,2.737,1.695,concertar
concesión,3.08,1.73,concesion
concesionaria,1.792,1.179,concesionaria
concha,3.72,1.926,concha
concienciación,3.0,2.111,concienciacion
concienciar,3.25,1.917,concienciar
concierto,2.083,1.472,concierto
conciliación,2.25,1.511,conciliacion
conciliador,2.667,1.742,conciliador
conciliar,2.217,1.278,conciliar
concilio,2.44,1.446,concilio
concisa,2.158,1.5,concisa
cónclave,2.062,1.482,conclave
concluir,2.857,1.824,concluir
conclusión,2.364,1.432,conclusion
concluyente,3.0,1.877,concluyente
concordancia,2.174,1.557,concordancia
concordar,1.476,0.981,concordar
concordia,3.4,1.633,concordia
concreción,1.476,1.167,concrecion
concretar,2.05,1.731,concretar
concreto,3.143,1.59,concreto
concuñada,3.474,2.547,concunada
concuñado,3.0,2.151,concunado
concurrencia,2.96,1.767,concurrencia
concurrir,2.92,1.706,concurrir
concursante,2.476,1.94,concursante
condado,2.364,1.706,condado
condecoración,3.083,2.083,condecoracion
condenación,2.2,1.576,condenacion
condenar,2.045,1.463,condenar
condensación,3.5,1.818,condensacion
condescendencia,1.895,1.56,condescendencia
condescendiente,2.833,1.659,condescendiente
condicional,3.35,2.007,condicional
condicionalidad,2.292,1.517,condicionalidad
condicionamiento,2.48,1.584,condicionamiento
condicionar,2.72,1.745,condicionar
condolencia,3.0,1.78,condolencia
condonación,1.933,1.387,condonacion
cóndor,2.478,1.806,condor
conducción,1.909,1.743,conduccion
conducir,2.476,1.601,conducir
conducta,2.174,1.23,conducta
conductividad,1.682,1.129,conductividad
conectar,3.96,2.208,conectar
conectividad,2.952,1.884,conectividad
conectivo,4.08,2.06,conectivo
conejera,2.783,1.731,conejera
conexión,3.136,1.642,conexion
confección,2.72,1.792,confeccion
confeccionar,2.583,1.742,confeccionar
confederación,1.4,0.94,confederacion
conferir,2.4,1.903,conferir
confesar,2.917,1.792,confesar
confesión,2.5,1.626,confesion
confesional,2.25,1.539,confesional
confesionario,2.333,1.683,confesionario
confesor,2.9,1.944,confesor
confiabilidad,2.857,1.957,confiabilidad
confiable,2.44,1.446,confiable
confiar,1.591,0.908,confiar
confidencia,1.682,1.086,confidencia
confidencial,2.273,1.638,confidencial
confidencialidad,2.05,1.05,confidencialidad
configuración,2.909,1.63,configuracion
configurar,2.84,1.724,configurar
confín,3.043,1.965,confin
confinamiento,2.143,1.195,confinamiento
confirmación,1.476,0.981,confirmacion
confirmando,3.12,1.764,confirmando
confirmar,3.105,2.052,confirmar
confiscación,2.478,1.648,confiscacion
conflictiva,2.955,1.914,conflictiva
conflictividad,2.96,1.814,conflictividad
confluencia,1.45,0.999,confluencia
conformación,2.417,1.717,conformacion
conformar,2.864,1.781,conformar
conforme,3.52,2.064,conforme
conformidad,2.0,1.285,conformidad
confortable,1.773,1.193,confortable
confrontación,2.455,1.792,confrontacion
confrontar,3.08,1.956,confrontar
confundir,3.16,1.405,confundir
confusión,1.952,1.322,confusion
congelación,3.273,2.334,congelacion
congelar,2.15,1.226,congelar
congénita,1.773,1.343,congenita
congestión,3.87,1.938,congestion
conglomerado,3.64,2.079,conglomerado
congoja,2.562,1.504,congoja
congratular,2.095,1.179,congratular
congregación,2.905,1.947,congregacion
congregar,2.667,1.426,congregar
congresista,2.435,1.83,congresista
congreso,2.273,1.549,congreso
congruencia,1.9,1.683,congruencia
cónica,2.647,1.935,conica
conjetura,2.84,1.546,conjetura
conjugación,2.091,1.342,conjugacion
conjugar,2.227,1.688,conjugar
conjunción,2.391,1.852,conjuncion
conjunta,3.6,1.871,conjunta
conjuntivitis,3.9,2.245,conjuntivitis
conjura,1.667,1.237,conjura
conjurar,2.5,1.638,conjurar
conllevar,2.2,1.399,conllevar
conmemoración,3.36,2.158,conmemoracion
conmemorar,3.64,1.846,conmemorar
conmemorativa,2.2,1.609,conmemorativa
conmoción,3.96,1.947,conmocion
conmovedor,3.8,1.765,conmovedor
conmover,2.667,1.834,conmover
conmutación,2.25,1.41,conmutacion
connotación,2.682,1.615,connotacion
cono,2.25,1.482,cono
conocedor,2.955,2.149,conocedor
conquistador,2.955,1.731,conquistador
conquistar,1.857,1.558,conquistar
consagración,1.1,0.308,consagracion
consagrar,1.909,1.377,consagrar
consciencia,1.476,0.814,consciencia
consecución,3.261,2.115,consecucion
consecuencia,2.32,1.249,consecuencia
consecuente,2.565,1.83,consecuente
consecutivo,2.591,1.919,consecutivo
consejera,2.318,1.701,consejera
consejería,2.136,2.007,consejeria
consejero,2.095,1.513,consejero
consenso,2.6,1.5,consenso
consensuar,2.35,1.694,consensuar
consentimiento,2.52,1.686,consentimiento
consentir,3.72,1.696,consentir
conservación,2.708,1.756,conservacion
conservador,2.955,1.676,conservador
conservadurismo,2.2,1.225,conservadurismo
conservatorio,1.81,1.401,conservatorio
considerable,2.4,1.528,considerable
consideración,1.714,1.231,consideracion
considerando,2.87,1.74,considerando
considerar,2.0,1.654,considerar
consignar,2.5,1.719,consignar
consiguiente,1.857,1.389,consiguiente
consistencia,3.96,2.031,consistencia
consistente,3.55,2.188,consistente
consistir,1.682,0.995,consistir
consistorio,1.368,0.597,consistorio
consola,2.55,2.164,consola
consolar,2.8,1.683,consolar
consolidación,3.2,1.871,consolidacion
consolidar,3.095,1.67,consolidar
consonancia,3.625,1.952,consonancia
consonante,4.08,2.08,consonante
consorcio,2.0,1.747,consorcio
consorte,1.826,1.403,consorte
conspirar,2.091,1.716,conspirar
constancia,1.864,1.32,constancia
constante,3.4,1.667,constante
constar,2.182,1.368,constar
constatación,2.76,1.943,constatacion
constatar,2.72,1.745,constatar
constelación,2.048,1.627,constelacion
consternación,3.04,1.859,consternacion
constipado,1.619,0.973,constipado
constitución,1.682,1.129,constitucion
constitucional,3.217,2.194,constitucional
constitucionalidad,2.0,1.48,constitucionalidad
constituir,2.76,1.899,constituir
constitutivo,3.08,1.956,constitutivo
constituyente,2.56,1.53,constituyente
constrictor,2.278,1.674,constrictor
construcción,3.08,1.681,construccion
constructiva,3.143,1.558,constructiva
constructor,3.4,1.979,constructor
construir,2.5,1.596,construir
consuegra,1.955,1.43,consuegra
consuegro,3.32,1.773,consuegro
consuela,2.476,1.632,consuela
consuelo,1.333,0.658,consuelo
cónsul,1.85,1.348,consul
consulado,1.8,1.08,consulado
consular,2.125,1.408,consular
consulta,1.696,1.329,consulta
consultar,2.579,1.61,consultar
consultivo,1.632,1.012,consultivo
consultor,2.895,1.823,consultor
consultoría,2.75,1.917,consultoria
consultorio,2.682,2.297,consultorio
consumación,2.64,2.158,consumacion
consumar,1.667,1.111,consumar
consumidor,3.458,1.911,consumidor
consumir,3.048,1.717,consumir
consumo,3.68,2.096,consumo
contabilidad,2.76,2.26,contabilidad
contactar,3.045,1.838,contactar
contacto,2.273,1.453,contacto
contador,3.45,2.089,contador
contagio,1.857,1.526,contagio
contagiosa,3.143,1.905,contagiosa
contaminante,2.783,1.622,contaminante
contar,3.64,1.912,contar
contemplación,3.08,1.869,contemplacion
contemplar,3.24,1.615,contemplar
contemplativa,2.316,1.668,contemplativa
contemporáneo,2.476,1.887,contemporaneo
contención,3.174,2.289,contencion
contencioso,1.947,1.353,contencioso
contener,3.64,1.934,contener
conteo,2.25,1.894,conteo
contestación,3.2,1.979,contestacion
contestar,2.72,2.112,contestar
conteste,2.048,0.973,conteste
contesto,2.652,1.555,contesto
contienda,2.75,2.245,contienda
contigua,2.273,1.241,contigua
continental,4.45,2.328,continental
continente,2.44,1.583,continente
contingencia,3.08,1.656,contingencia
contingente,2.263,1.408,contingente
continua,3.65,2.254,continua
continuación,3.25,1.832,continuacion
continuar,3.0,1.732,continuar
continuaría,2.952,1.857,continuaria
continuidad,2.905,1.64,continuidad
contorno,2.391,1.559,contorno
contraataque,3.571,1.859,contraataque
contrabajo,3.24,1.69,contrabajo
contrabando,2.05,1.432,contrabando
contracción,5.0,1.826,contraccion
contractual,4.5,2.11,contractual
contradecir,3.65,1.954,contradecir
contradicción,4.19,1.721,contradiccion
contradictorio,3.28,1.815,contradictorio
contraer,2.8,2.217,contraer
contrafagot,2.625,1.455,contrafagot
contrafuerte,3.571,1.502,contrafuerte
contragolpe,4.1,2.245,contragolpe
contraofensiva,2.857,1.558,contraofensiva
contraparte,2.6,1.803,contraparte
contrapartida,2.833,1.88,contrapartida
contrapeso,4.44,1.734,contrapeso
contraposición,3.28,2.112,contraposicion
contraprestación,1.75,1.251,contraprestacion
contraproducente,2.476,1.806,contraproducente
contrapunto,1.955,1.397,contrapunto
contrarreloj,4.88,2.088,contrarreloj
contrarrestar,3.16,1.951,contrarrestar
contraseña,1.667,0.913,contrasena
contrastar,2.636,2.105,contrastar
contraste,2.5,1.472,contraste
contrata,1.95,1.538,contrata
contratación,2.261,1.711,contratacion
contratar,2.083,1.613,contratar
contratiempo,3.35,2.033,contratiempo
contrato,3.25,1.7,contrato
contribución,2.7,1.976,contribucion
contribuir,2.72,1.969,contribuir
contribuyente,2.227,1.688,contribuyente
control,2.476,1.721,control
controlador,3.3,1.838,controlador
controlar,1.955,1.558,controlar
controversia,1.913,1.474,controversia
contundencia,4.25,2.314,contundencia
contundente,4.16,1.972,contundente
convalecencia,1.96,1.567,convalecencia
convección,3.04,1.947,conveccion
convencer,2.909,1.716,convencer
convencimiento,2.76,1.665,convencimiento
convención,2.095,0.944,convencion
convencional,1.857,1.459,convencional
convenido,1.826,1.154,convenido
conveniencia,2.05,1.395,conveniencia
conveniente,1.952,1.322,conveniente
convenio,3.4,2.186,convenio
convenir,1.857,1.558,convenir
convento,1.739,1.389,convento
convergencia,2.458,1.769,convergencia
convergente,2.9,1.714,convergente
conversa,2.917,1.717,conversa
conversación,2.13,1.392,conversacion
conversar,2.143,1.526,conversar
conversión,2.048,1.532,conversion
convertir,2.8,1.826,convertir
convicción,3.545,1.993,conviccion
convidar,2.45,1.432,convidar
convincente,2.304,1.521,convincente
convite,2.0,1.588,convite
convivencia,3.56,2.063,convivencia
convocar,2.84,1.7,convocar
convocatoria,2.048,1.564,convocatoria
convoy,2.368,1.535,convoy
convulsión,3.12,1.878,convulsion
cónyuge,3.52,2.084,conyuge
coñac,3.318,2.009,conac
coño,2.44,1.53,cono
cooperación,3.92,2.06,cooperacion
cooperativa,2.409,1.436,cooperativa
coordinador,3.96,1.968,coordinador
coordinadora,3.2,1.871,coordinadora
coordinar,3.261,1.764,coordinar
copia,1.636,1.255,copia
copiado,2.72,1.904,copiado
copiar,2.35,1.725,copiar
copiloto,4.0,2.408,copiloto
