palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
rápido,2.5,2.3,3.25,2.48,2.875,2.90476,2.04167,1.23544,1.30182,1.11803,1.50333,1.15392,1.33809,1.23285,rapido
rapiña,1.36364,1.71429,1.54545,1.21429,1.27273,1.28571,1.25,0.50452,0.99449,0.52223,0.57893,0.4671,0.48795,0.70711,rapina
rapto,1.2,1.16,1.15,1.22222,1.15,1.13043,1.0,0.69585,0.8,0.36635,0.42779,0.36635,0.34435,0.0,rapto
rara,2.3,1.75,1.95,2.36364,2.4,2.05,2.31818,1.08094,0.96655,0.99868,1.21677,1.31389,1.19097,1.24924,rara
rareza,2.6,2.05,1.95455,2.19048,2.7,2.1,2.52,1.42902,0.94451,1.17422,1.12335,0.92338,1.29371,1.41774,rareza
raro,2.45,1.56522,2.13636,3.1,2.0,2.1,1.91667,1.46808,0.89575,1.08213,1.29371,0.94868,1.25237,1.05981,raro
rascacielos,2.85,1.75,2.25,2.36364,2.83333,2.35,2.0,1.46089,1.11316,1.25132,1.39882,1.16718,1.1821,0.89443,rascacielos
rasgo,2.75,2.35,1.8,2.05,2.4,2.2,2.3,1.51744,1.46089,1.05631,1.05006,1.09545,1.15166,1.21828,rasgo
raso,1.70588,2.5625,1.73333,1.64706,1.84211,1.47059,2.33333,0.98518,1.15289,0.96115,0.78591,1.11869,0.71743,1.49603,raso
rastrear,2.65,2.1,2.3,1.81818,2.3,1.8,1.9,1.42441,1.02084,1.34164,1.05272,1.08094,1.00525,0.91191,rastrear
rastro,2.25,2.2,2.0,1.85,2.45,2.0,1.85,1.40955,1.10501,1.21395,1.34849,1.09904,1.1698,0.9333,rastro
rata,1.5,1.52381,1.25,1.66667,1.7,1.47826,1.25,0.88852,1.03049,0.7864,1.11056,1.17429,0.94722,0.63867,rata
ratificación,2.10526,2.41667,2.33333,1.26316,2.27778,2.76923,1.8,1.19697,1.31137,1.08465,0.56195,1.31978,1.58923,1.15166,ratificacion
ratificar,2.2,2.875,2.0,1.5,2.47059,2.46154,2.52941,1.32017,1.08781,1.11803,0.85749,1.12459,1.1266,1.23073,ratificar
ratón,1.5,1.36364,1.8,1.85,2.0,1.45,1.55,1.10195,0.65795,1.19649,1.08942,1.52177,0.99868,0.82558,raton
raya,2.05,1.75,1.57143,2.05,1.75,1.86364,1.9,1.09904,1.11803,0.74642,1.46808,1.06992,1.28343,1.07115,raya
rayo,1.95,1.7,2.55,2.0,1.95,2.45,1.95238,1.14593,1.0311,1.46808,1.41421,1.14593,1.5035,1.20317,rayo
raza,2.25,1.4,1.90909,2.05,2.1,1.86957,1.6,1.48235,0.75394,1.15095,1.14593,1.16529,1.17954,0.94032,raza
