palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
abandonado,1.6,1.15,1.3,1.33333,1.2,1.3,1.5,0.94032,0.67082,0.65695,0.79582,0.69585,0.97872,1.05785,abandonado
ábaco,1.47059,2.125,1.94444,1.625,1.64286,1.8125,2.29412,0.79982,1.08781,1.05564,0.7188,0.8419,0.83417,1.49016,abaco
abad,1.625,1.5,1.6,1.3125,1.69231,1.76923,1.84615,1.14746,0.6742,0.84327,0.60208,1.18213,1.01274,1.06819,abad
abadía,1.375,2.0,1.41667,1.6,2.35294,2.125,2.47059,0.88506,1.23669,0.66856,1.12122,1.32009,1.20416,1.17886,abadia
abandonar,1.35,1.85714,1.25,1.47619,1.2,1.4,1.45,0.58714,1.35225,0.44426,1.20909,0.41039,0.88258,0.88704,abandonar
abandono,1.55,1.35,1.0,1.15,1.0,1.05,1.26087,0.99868,0.67082,0.0,0.48936,0.0,0.22361,0.61919,abandono
abanico,2.3,2.7,2.40909,2.31818,2.85,2.9,2.9,1.21828,1.41793,1.43623,1.32328,1.08942,1.16529,1.37267,abanico
abarcar,2.35,2.35,2.75,1.63636,2.55,2.88,2.2,1.42441,1.22582,1.29269,0.95346,1.19097,1.26886,1.05631,abarcar
abastecer,2.6,3.09091,3.15,2.6,3.3,3.1,2.75,1.31389,1.306,1.38697,1.50088,1.26074,1.29371,1.20852,abastecer
abastecimiento,2.15,3.55,2.38095,2.14286,2.73913,3.1,2.95,1.26803,1.43178,1.11697,1.42428,1.21421,1.33377,1.46808,abastecimiento
abatir,1.85,1.8,1.5,1.5,1.8,1.7,1.36842,1.08942,1.19649,0.82717,0.94591,0.95145,1.26074,0.8307,abatir
abdomen,1.7,2.15,1.86364,1.95,2.15,2.25,1.86364,1.17429,1.03999,1.12527,1.14593,0.9333,1.16416,1.08213,abdomen
abeja,2.04762,1.4,1.9,1.45,2.25,1.85,1.83333,1.32198,0.82078,1.02084,0.60481,1.29269,1.13671,1.0495,abeja
abejas,2.4,1.7,1.55,1.9,2.25,2.15,1.875,1.42902,1.0311,1.05006,1.25237,1.33278,1.1821,1.1156,abejas
abejorro,1.6,1.31579,1.5,1.80952,1.45,1.47368,1.75,0.88258,0.67104,0.76089,1.28915,0.75915,0.84119,0.91047,abejorro
abertura,2.2,2.35,2.2,2.15789,2.57895,2.52632,2.7619,1.36111,1.1821,1.32188,1.21395,1.1698,1.26352,1.13599,abertura
abierta,2.3,3.15,2.75,3.0,3.05,2.57692,3.4,1.34164,1.22582,1.06992,1.41421,1.43178,1.33186,1.46539,abierta
abierto,2.2,2.95,3.25,2.95238,2.85,2.6,3.35,1.15166,1.14593,1.16416,1.43095,1.42441,1.3917,1.22582,abierto
abismo,2.35,1.5,1.9,1.2381,1.55,1.52632,1.57143,1.49649,0.80178,1.25237,0.43644,1.14593,0.69669,1.02817,abismo
abnegación,2.29412,2.38889,1.52632,1.15789,2.13333,2.0,1.8,1.26317,1.577,0.96427,0.50146,1.12546,1.22474,1.37321,abnegacion
abogacía,2.25,2.26316,1.54545,1.45,1.86957,2.35,1.89474,1.11803,1.24017,0.91168,0.99868,1.21746,1.13671,0.99413,abogacia
abogada,3.2381,2.36364,2.0,1.35,2.1,2.6,1.59091,1.17918,1.21677,1.21395,0.58714,1.11921,1.23117,0.79637,abogada
abogado,3.0,2.42857,1.9,1.45,1.55,1.9,2.04545,1.1698,1.39898,1.02084,0.75915,0.82558,0.91191,0.89853,abogado
abolición,2.42105,1.94444,2.25,2.05263,2.2,2.36842,2.04762,1.26121,1.05564,1.06992,1.35293,1.36111,1.38285,1.20317,abolicion
abolir,2.6,2.73684,2.04762,1.5,2.35,2.4,1.65,1.53554,1.408,1.46548,0.85749,1.30888,1.23117,0.81273,abolir
abominable,1.72222,1.31579,1.95455,1.44444,1.38889,1.52632,1.26316,1.17851,0.58239,1.0455,0.78382,0.84984,1.1239,0.65338,abominable
abonar,2.08,2.55,2.20833,1.82609,2.45,2.6,1.63636,1.25565,1.31689,1.28466,1.07247,1.23438,1.27321,0.95346,abonar
abono,1.6,2.2,1.8,1.61905,1.95652,2.54545,2.35,0.68056,1.47256,1.32188,1.07127,1.10693,1.3355,1.1821,abono
abordar,2.3,2.2381,2.69565,1.45,2.15,2.9,2.42857,1.52523,1.41084,1.10514,0.82558,0.98809,1.37267,1.59911,abordar
aborigen,2.57895,1.75,1.7619,1.63158,2.05882,1.66667,2.0,1.46499,1.18322,1.13599,0.95513,1.19742,0.90749,0.92582,aborigen
aborto,2.45,2.4,1.66667,1.45,1.85,1.75,1.68182,1.19097,1.3917,1.31656,0.94451,1.1821,1.11803,0.94548,aborto
abrasador,1.6,1.6,1.95,1.45,1.48,1.6,1.45455,0.88258,0.82078,1.23438,0.82558,0.8226,0.94032,0.73855,abrasador
abrazar,3.85,4.27273,4.05,3.55,4.6,4.58333,4.22727,1.30888,1.12045,0.99868,1.35627,0.68056,0.65386,1.37778,abrazar
abrazo,3.35,4.35,3.9,3.36364,4.5,4.65,4.6,1.22582,1.34849,1.44732,1.17698,1.0,0.98809,0.99472,abrazo
abreviatura,1.55,2.15,1.3,2.1,2.25,2.05,2.1,0.82558,1.08942,0.57124,1.07115,1.16416,1.05006,0.96791,abreviatura
abrigo,2.31818,2.88,2.3,1.95238,3.0,2.15,3.0,1.615,1.23558,1.34164,1.16087,1.02598,1.42441,1.37649,abrigo
abrir,1.7,2.73913,3.2,2.2,3.36364,2.52174,2.6,0.8645,1.21421,1.43637,1.23969,1.17698,1.344,1.31389,abrir
abroncar,1.41176,1.78947,1.21053,1.38889,1.6875,1.375,1.38889,0.61835,0.91766,0.5353,0.77754,0.87321,0.5,0.6978,abroncar
abrumado,1.89474,1.52632,1.84211,1.40909,1.6,1.8,1.28571,1.14962,0.77233,0.83421,0.59033,1.09545,1.05631,0.46291,abrumado
abrumadora,2.0,1.5,2.3,1.85714,1.8,2.25,1.91304,1.21395,0.82717,1.38031,1.01419,1.19649,1.33278,0.94931,abrumadora
absolución,2.0,3.36842,2.46667,2.09091,2.11111,2.82353,2.57143,1.46059,1.70654,1.12546,1.4445,1.2314,1.33395,1.56753,absolucion
absoluto,2.63636,2.6,2.7,1.95,2.66667,2.55,2.18182,1.21677,1.42902,1.30182,0.99868,1.27404,1.31689,1.05272,absoluto
absorber,2.0,1.9,2.05,1.75,2.3,1.7,2.13043,1.14018,1.20961,0.88704,0.96655,1.12858,1.17429,1.01374,absorber
absorción,2.52174,2.26316,1.85,1.45455,1.95,1.8,2.56522,1.41001,1.09758,1.1821,0.9625,1.35627,1.15166,1.23679,absorcion
absorto,2.94444,2.52941,2.45,1.94444,2.23529,2.44444,2.65,1.69679,1.32842,1.2763,1.21133,1.48026,0.92178,1.34849,absorto
abstención,1.8,2.27778,1.5,1.52381,1.59091,1.65,1.94737,1.15166,1.22741,0.68825,0.81358,0.79637,0.9333,1.17727,abstencion
abstinencia,2.33333,2.26087,1.45,1.8,1.5,1.80952,1.42857,1.27802,1.28691,0.68633,1.10501,0.94591,1.03049,0.74642,abstinencia
abstinente,2.42105,1.85,1.83333,1.63158,1.63636,1.55556,1.66667,1.30451,0.98809,0.98518,0.76089,0.78954,0.70479,0.91287,abstinente
abstracción,3.0,2.33333,2.6,2.52174,2.53846,2.78947,2.85714,1.52177,1.19722,1.31389,1.23838,1.36325,1.35724,1.35225,abstraccion
abstracto,2.8,2.04762,2.08696,2.65,2.85,2.2,2.65,1.43637,1.02353,1.12464,1.42441,1.03999,1.15166,1.46089,abstracto
absurdo,1.55,1.7,1.57143,2.05,1.9,1.5,1.54545,0.88704,0.80131,0.92582,1.23438,1.25237,0.60698,1.01076,absurdo
abuela,4.35,3.35,3.85,3.95,4.15,3.9,3.75,1.03999,1.53125,1.08942,1.19097,1.1821,1.25237,1.48235,abuela
abuelo,4.3,3.8,3.69565,2.95652,3.45,4.1,3.6,0.80131,1.54238,1.36298,1.39734,1.43178,1.29371,1.46539,abuelo
abundancia,3.15,3.3,3.08,2.95238,3.2,3.7,2.7,1.34849,1.55935,1.25565,1.35927,1.39925,1.26074,1.30182,abundancia
abundante,2.75,3.4,2.9,3.15,2.95,3.36364,2.9,1.37171,0.99472,1.37267,1.30888,1.31689,0.90214,1.41049,abundante
aburrido,1.35,1.27273,1.15,1.1,1.75,1.0,2.25,0.74516,0.55048,0.36635,0.30779,1.16416,0.0,0.91047,aburrido
aburrimiento,1.4,1.55,1.2,1.2,1.5,1.4,2.2,0.59824,0.82558,0.41039,0.89443,0.88852,0.68056,1.10501,aburrimiento
abusar,1.1,1.1,1.4,1.09524,1.0,1.1,1.25,0.30779,0.44721,0.88258,0.30079,0.0,0.30779,0.55012,abusar
abuso,1.45455,1.25,1.13636,1.18182,1.05,1.1,1.15,1.01076,0.91047,0.35125,0.8528,0.22361,0.44721,0.48936,abuso
acabar,2.4,3.7,2.85,2.21739,2.8,3.72,3.1,1.35336,1.17429,1.22582,1.0853,1.32188,1.45831,1.44732,acabar
academia,2.3,2.7,2.33333,1.9,2.3,2.85,2.2,1.17429,1.45458,1.34056,0.91191,1.45458,1.13671,1.10501,academia
académico,3.09091,2.13636,2.96,2.1,2.55,3.15,2.72727,1.41115,1.28343,1.45717,1.20961,1.2763,1.53125,1.3159,academico
acantilado,2.16667,2.1,2.85,2.47826,2.75,2.55,2.7,1.27404,1.20961,1.1821,1.344,1.40955,1.5035,1.55935,acantilado
acariciar,2.75,4.04762,3.85,3.65,4.3,4.05,4.25,1.44641,1.16087,1.1821,0.9333,0.7327,0.94451,0.8507,acariciar
acarrear,2.25,2.05263,1.6,1.68182,1.47368,1.95,1.66667,1.11803,1.12909,0.82078,1.08612,0.69669,1.23438,0.84017,acarrear
acatar,1.8,1.73684,1.3,1.47368,2.2,1.85,2.47368,1.00525,0.99119,0.80131,0.69669,0.89443,0.98809,1.21876,acatar
acceder,2.55,2.85714,3.1,2.27273,2.95,3.1,2.31818,1.53811,1.45896,1.29371,1.24142,1.19097,1.11921,1.2868,acceder
accesibilidad,2.55,3.45,2.95,1.70833,3.2,3.6,2.85,1.43178,1.14593,1.46808,0.95458,1.23969,1.23117,1.08942,accesibilidad
accesible,2.95,3.8,2.71429,2.86957,3.2381,3.7,2.75,1.35627,1.05631,1.27055,1.6041,1.13599,1.30182,1.51744,accesible
acceso,2.25,3.25,2.65,2.1,2.85,3.25,2.52174,1.32698,1.33278,1.22582,1.58612,1.08942,1.01955,1.03877,acceso
accidental,1.95,1.95,1.8,1.8,1.95,1.61905,1.22727,1.23438,1.19097,1.15166,0.89443,1.14593,0.86465,0.52841,accidental
accidente,1.4,1.4,1.2,1.1,1.15,1.15,1.3,0.82078,0.88258,0.61559,0.30779,0.36635,0.48936,0.57124,accidente
acción,2.5,2.8,3.27273,3.1,3.35,3.2,1.95455,1.31789,1.00525,1.24142,1.29371,1.26803,1.60918,1.0901,accion
accionar,1.89474,2.52174,2.95,2.55,2.85,2.85,2.4,0.99413,1.3774,1.39454,1.35627,1.26803,1.13671,1.27321,accionar
accionista,1.89474,1.75,2.1,1.40909,1.8,2.15,2.0,1.04853,0.96655,1.16529,0.85407,0.76777,1.1821,1.22474,accionista
acecho,1.90909,1.55,1.5,1.3,1.52632,1.35,1.35,1.1916,0.88704,0.82717,0.80131,0.84119,0.74516,0.48936,acecho
aceite,2.19048,1.95,1.65,2.05,3.15,2.35,2.35,1.43593,1.39454,0.9333,1.09904,1.26803,1.34849,1.26803,aceite
aceleración,1.95,2.14286,3.1,2.6,2.75,2.45,1.68182,1.14593,1.23635,1.48324,1.23117,1.20852,1.23438,0.99457,aceleracion
acelerador,2.1,2.1,3.0,2.8,2.86957,2.5,2.0,1.37267,1.07115,1.41421,1.39925,1.14035,1.27733,1.26491,acelerador
acelerar,3.2,2.55,3.65,2.71429,2.95833,2.2,1.7,1.15166,1.19097,1.03999,1.5538,1.30148,1.10501,0.92338,acelerar
acento,2.5,2.45,2.55,2.28571,2.9,2.0,2.2,1.35724,1.5035,1.31689,1.45406,1.44732,1.1239,1.05631,acento
acepción,2.6875,2.30769,2.13333,2.11765,2.53333,2.46667,2.64706,1.40089,1.25064,1.30201,1.31731,1.45733,1.45733,1.22174,acepcion
aceptable,2.55,3.31818,2.65,2.13043,3.3,3.15,3.35,1.14593,1.12911,1.13671,1.17954,1.17429,1.13671,1.08942,aceptable
aceptación,3.65,3.7,3.4,3.15,3.9,4.1,4.15,1.13671,1.17429,1.23117,1.59852,1.02084,1.07115,1.03999,aceptacion
aceptar,3.15,3.3,3.19048,2.4,3.35,3.65,3.30435,1.38697,1.34164,1.28915,1.3917,1.22582,1.08942,1.25896,aceptar
acequia,1.45,1.5625,1.78571,1.4,2.125,1.82353,2.0,0.88704,0.96393,1.0509,0.73679,1.20416,1.13111,1.1726,acequia
acera,1.55,2.2,1.6,1.47619,1.57895,2.4,1.6087,0.88704,1.47256,1.0463,0.60159,0.76853,1.14248,1.03305,acera
acercamiento,3.15,3.25,2.85,3.1,3.4,3.85,3.30435,1.08942,1.29269,1.22582,1.37267,1.3917,1.08942,1.32921,acercamiento
acercar,2.75,2.55,2.2381,2.15,2.8,2.95,3.0,1.11803,1.14593,1.33809,1.13671,1.28145,1.35627,1.25656,acercar
acero,1.8,2.17391,1.6,1.66667,2.2,1.75,2.1,1.10501,1.15413,1.18766,1.11056,1.10501,1.01955,1.11921,acero
acertada,2.65,3.6,3.4,3.2381,3.5,4.55,3.05,1.30888,1.35336,1.0463,1.54612,1.19208,0.60481,1.23438,acertada
acertar,3.42857,4.15,3.85,3.5,3.75,4.0,3.25,1.66046,1.03999,1.1821,1.50438,1.06992,1.20605,1.44641,acertar
acidez,1.55,1.2381,1.5,1.7619,1.85,1.45,1.3,0.99868,0.43644,0.88852,1.13599,1.26803,0.68633,0.57124,acidez
ácido,1.95455,1.04762,1.6,1.8,1.78261,1.35,1.2,1.17422,0.21822,0.68056,1.10501,1.04257,0.67082,0.52315,acido
acierto,3.35,4.0,3.75,3.65,3.6,4.15,3.55,1.13671,1.02598,1.01955,1.30888,1.50088,0.87509,0.99868,acierto
aclamar,2.78947,2.52632,3.0,3.0,2.4,2.6,2.15,1.35724,1.07333,1.29099,1.34519,1.27321,1.18766,0.98809,aclamar
aclaración,2.45,3.5,2.61905,2.18182,3.4,3.25,3.15,1.31689,1.14708,1.02353,1.33225,1.23117,1.44641,1.49649,aclaracion
aclarar,2.65,4.0,2.24,1.9,3.3,3.0,2.4,1.26803,0.8165,1.3626,1.20961,1.21828,1.37649,1.50088,aclarar
acné,1.15,1.3,1.3,1.4,1.34783,1.33333,1.15,0.48936,0.47016,0.57124,0.88258,0.64728,0.79582,0.36635,acne
acogedor,3.1,3.8,3.2,2.5,4.35,4.08333,4.15,1.48324,1.05631,1.43637,1.23544,0.74516,1.05981,0.87509,acogedor
acogedora,3.7,3.66667,3.2,2.5,4.3,4.09524,4.3,1.34164,1.27802,1.28145,1.50438,1.0311,1.13599,0.7327,acogedora
acoger,3.25,4.1,3.05,2.1,3.25,3.43478,3.55,0.91047,0.96791,1.35627,0.96791,1.20852,1.34252,0.82558,acoger
acogida,3.05,3.9,3.25,2.38095,3.75,3.43478,3.5,1.14593,0.91191,1.20852,1.2836,1.29269,1.19947,1.31789,acogida
acometer,1.85,1.95,2.31818,1.52941,1.72222,2.8,1.65,1.13671,0.99868,1.24924,0.71743,0.82644,1.32017,0.87509,acometer
acomodar,2.55,3.55,2.75,2.25,3.35,3.6,3.54545,1.43178,1.14593,1.29269,1.20852,1.46089,1.14248,1.3355,acomodar
acompañante,2.55,3.4,3.4,3.7,3.1,3.2,2.78261,1.35627,1.46539,1.09545,1.08094,1.11921,1.43637,1.44463,acompanante
acompañar,3.6,3.9,3.55,3.36364,3.8,3.7,3.1,1.31389,0.96791,1.31689,1.39882,1.00525,1.17429,0.96791,acompanar
acondicionado,2.26087,2.25,2.2,1.71429,3.55,3.15789,2.2381,1.25109,1.16416,1.05631,1.14642,0.68633,1.53707,1.17918,acondicionado
aconsejable,3.04545,3.2,2.75,2.35,3.4,3.05,2.9,1.32655,1.10501,1.01955,1.30888,1.31389,1.46808,1.37267,aconsejable
aconsejar,3.0,3.5,2.55,2.85714,3.85,4.1,3.1,1.52177,1.19208,1.35627,1.23635,0.87509,0.71818,1.25237,aconsejar
acontecer,2.2,2.66667,2.65,1.66667,2.9,2.25,2.85,1.23969,1.02899,1.26803,1.13759,1.20961,1.58529,1.03999,acontecer
acontecimiento,2.9,2.75,3.5,2.65,2.85,2.85,2.45833,1.11921,1.20852,1.23544,1.30888,1.22582,0.9333,1.25036,acontecimiento
acorazado,1.57895,2.54545,1.57895,2.0,2.47368,2.25,1.86957,0.90159,1.22386,0.83771,1.02598,1.38918,1.11803,0.9197,acorazado
acordar,2.75,3.05,2.7,2.61905,3.1,3.55,3.36364,1.16416,1.35627,0.97872,1.43095,1.25237,1.35627,1.29267,acordar
acorde,2.95,3.0,2.52174,2.15,2.6,3.1,3.4,1.57196,1.41421,1.344,1.22582,1.42902,1.37267,1.09545,acorde
acordeón,2.1,2.15,2.2,2.65,2.7,2.05,2.65,1.37267,1.34849,1.28145,1.26803,1.45458,1.09904,1.30888,acordeon
acortar,1.5,2.3,2.2,1.7,2.0,1.76923,1.8,0.82717,1.38031,1.28145,0.8645,1.02598,1.10662,0.89443,acortar
acosar,1.17391,1.35,1.15,1.0,1.0,1.0,1.05,0.57621,0.9333,0.67082,0.0,0.0,0.0,0.22361,acosar
acoso,1.15,1.05,1.3,1.0,1.15,1.25,1.2,0.36635,0.22361,0.97872,0.0,0.48936,0.89685,0.69585,acoso
acre,2.14286,1.25,1.82353,1.61111,1.41176,1.36364,1.86667,1.02711,0.46291,0.88284,0.91644,0.71229,0.80904,1.18723,acre
acreditación,2.57895,3.0,2.55,1.95238,2.85,3.0,2.42857,1.42657,1.33771,1.39454,1.32198,1.03999,1.1698,1.36277,acreditacion
acreditar,2.25,2.9,2.5,1.95,2.3,2.65,2.0,1.20852,1.37267,1.10024,1.31689,1.08094,1.34849,1.25656,acreditar
acreedor,1.15385,1.85,1.375,1.45,1.88889,1.95,1.84211,0.5547,1.1821,0.88506,0.82558,1.07861,1.35627,0.89834,acreedor
acrónimo,1.23529,1.6875,1.84211,1.17647,2.10526,1.55556,2.05263,0.43724,0.87321,1.11869,0.39295,1.32894,0.98352,1.12909,acronimo
acta,1.6,2.35,1.85,1.05,1.45,2.0,1.65,0.94032,1.1821,0.81273,0.22361,0.75915,1.37649,0.81273,acta
actitud,3.45833,3.1,3.7,3.05,3.55,4.0,3.04545,0.88363,1.44732,1.0311,1.23438,1.31689,1.02598,1.17422,actitud
activa,3.1,2.70833,3.6,3.15,3.5,3.4,2.28571,1.51831,1.30148,1.14248,1.34849,1.39548,1.31389,1.00712,activa
activación,2.95,2.57143,3.35,3.35,3.3,3.8,2.6,1.31689,1.20712,1.69442,1.49649,1.0311,1.05631,1.42902,activacion
activar,2.45,3.35,3.35,3.25,2.95,2.85,2.35,1.35627,1.30888,1.08942,1.16416,1.05006,1.30888,1.22582,activar
actividad,2.8,2.33333,3.45,3.63636,3.45,3.75,2.95,1.19649,1.31656,0.88704,1.21677,1.09904,1.06992,0.94451,actividad
activismo,3.3,2.15,2.95,2.80952,3.1,3.80952,2.2,1.45458,1.53125,1.35627,1.24976,1.33377,1.12335,0.89443,activismo
activista,3.65,2.25,3.4,2.1,2.8,2.85,2.45455,1.13671,1.20852,1.3917,1.07115,1.43637,1.26803,1.1434,activista
acto,2.6,2.72727,2.35,2.45455,3.1,2.75,2.2,1.23117,1.48586,0.98809,1.37069,1.20961,1.40955,1.23969,acto
actor,3.1,2.5,2.81818,3.85,3.2,3.35,2.45455,1.44732,1.35724,1.43548,0.67082,1.39925,1.46089,1.10096,actor
actriz,3.7,2.05,3.0,3.25,3.6,2.5,2.2,1.08094,0.99868,1.37649,1.16416,0.68056,1.60591,1.28145,actriz
actuación,3.69565,2.85,2.95,3.80952,2.75,2.95,2.95,1.22232,1.46089,1.14593,1.12335,1.33278,1.35627,1.05006,actuacion
actual,2.4,2.65,2.0,2.25,2.9,2.4,2.33333,1.23117,1.42441,1.23443,1.06992,1.16529,1.63514,1.55991,actual
actualidad,3.35,2.7,2.5,2.33333,2.65,2.55,2.2,1.1821,1.45458,1.05131,1.1547,1.34849,1.39454,1.36111,actualidad
actualización,1.95,2.75,3.0,2.8,3.2,2.85,2.36,1.19097,1.37171,1.1239,1.23969,1.19649,1.38697,1.28712,actualizacion
actualizar,2.55,2.85,2.85,2.45,2.68182,3.6,2.0,1.39454,1.26803,1.30888,1.19097,1.24924,1.18766,1.14208,actualizar
actuar,3.1,3.25,3.13636,3.04348,2.8,3.25,2.45,1.41049,1.06992,1.39029,1.4295,1.36111,1.15156,1.23438,actuar
acuarela,2.25,2.05,2.79167,3.35,3.33333,3.45,3.31818,1.16416,1.19097,1.61458,1.22582,1.11056,1.23438,1.3934,acuarela
acuático,3.1,2.8,2.95,3.0,3.05,2.5,3.5,1.48324,1.39925,1.43178,1.37649,1.39454,1.63836,1.31789,acuatico
acuchillar,1.26316,1.45,1.45,1.28571,1.08,1.1,1.26087,0.56195,0.99868,0.88704,0.64365,0.27689,0.30779,0.75181,acuchillar
acudir,2.6,3.05,2.71429,2.25,3.1,2.8,2.45,1.42902,1.05006,1.14642,1.37171,1.25237,1.28145,1.35627,acudir
acueducto,2.33333,1.7,1.78947,1.5,2.05,2.4,2.45,1.49395,1.26074,1.18223,0.68825,1.09904,1.63514,1.53811,acueducto
acuerdo,3.25,3.45,2.95455,2.6087,3.3,3.9,3.3,1.16416,1.19097,1.32655,1.46905,1.08094,1.33377,1.38031,acuerdo
acuicultura,2.33333,2.09091,2.08333,1.9375,2.5,2.25,2.16667,1.1547,1.22103,1.37895,1.28938,1.50923,1.3568,1.40346,acuicultura
acumulación,1.6,1.47619,1.9,1.35,1.55,2.15,1.7,0.88258,0.7496,0.91191,0.81273,0.88704,1.1821,0.8645,acumulacion
acumular,1.8,2.15,2.0,1.8,1.85714,2.5,2.05,0.76777,1.08942,1.21395,1.05631,1.10841,1.14708,1.2763,acumular
acurrucarse,2.9,4.4,3.7,3.27273,4.55,4.24,3.95455,1.51831,0.88258,1.26074,1.38639,0.60481,1.0116,1.2527,acurrucarse
acusación,1.55,1.5,1.45,1.4,1.32,1.3,1.36364,0.82558,0.74001,0.82558,0.82078,0.74833,0.92338,0.78954,acusacion
acusar,1.35,1.35,1.4,1.4,1.31818,1.6,1.25,0.81273,0.58714,0.59824,0.99472,0.71623,1.0463,0.55012,acusar
acústica,2.55,2.75,2.7,3.3,3.15,3.25,2.9,1.43178,1.40955,1.38031,1.30182,0.87509,1.37171,1.44732,acustica
adaptación,3.25,3.8,3.3,3.0,2.85,3.85,3.19048,1.48235,1.23969,1.30182,1.44749,1.30888,1.26803,1.20909,adaptacion
adaptar,3.15,2.9,3.13636,2.0,3.4,3.7,2.80952,1.42441,1.16529,1.20694,1.18322,1.31389,1.17429,1.20909,adaptar
adecuar,2.77273,3.05,2.58333,1.95238,3.05,2.95238,2.81818,1.37778,1.2763,1.21285,1.07127,1.35627,1.2836,1.25874,adecuar
adelantar,2.52381,2.9,3.5,2.05,3.1,3.1,2.3913,1.32737,1.29371,1.0,1.2763,1.16529,1.20961,1.2699,adelantar
adelante,1.8,2.95,3.36364,2.85,3.55,3.4,2.85,1.32188,1.19097,1.25529,1.38697,1.43178,1.14248,1.03999,adelante
adelanto,2.65217,2.5,3.05,2.52174,2.7,2.85,2.18182,1.33514,1.40577,1.35627,1.44189,1.45458,1.56525,1.13961,adelanto
ademán,1.5,1.94444,2.29412,1.91667,1.5,1.875,2.0,0.79772,0.8726,1.26317,0.90034,0.8165,0.95743,1.0,ademan
adhesión,1.83333,1.78947,2.44444,1.84211,2.05,2.55,1.95833,1.04319,1.03166,1.19913,1.06787,1.09904,1.23438,1.19707,adhesion
adicción,2.29167,1.45,1.4,1.54545,2.0,1.55,1.7,1.5458,0.82558,0.59824,0.85786,1.45095,0.75915,0.97872,adiccion
adicional,1.68182,2.31818,2.3,2.33333,2.75,2.6,2.2381,1.04135,1.49241,1.12858,1.19722,1.44641,1.27321,1.17918,adicional
adicto,1.6,1.45,1.65,1.5,1.5,1.2,1.32143,1.0463,1.09904,1.26803,1.0,0.82717,0.41039,0.81892,adicto
adiestramiento,2.89474,2.3,2.2,2.15,2.05263,2.0,2.3,1.24252,1.12858,1.19649,1.34849,1.39338,1.1239,1.12858,adiestramiento
adinerado,3.0,2.85,2.9,3.2,2.95,3.55,2.4,1.37649,1.38697,1.25237,1.54238,1.23438,1.46808,1.31389,adinerado
adiós,1.4,2.1,1.4,1.3,1.75,1.9,2.27273,0.59824,1.25237,0.88258,0.92338,0.96655,1.29371,1.20245,adios
adivina,2.7,2.15,2.72727,2.80952,2.6,2.9,2.0,1.26074,1.08942,1.3159,1.36452,1.27321,1.37267,1.1239,adivina
adivinar,1.9,3.0,2.95,3.3,3.25,3.55,2.52381,1.29371,1.29777,1.31689,1.49032,1.37171,1.35627,1.32737,adivinar
adjetivo,2.05,2.3,2.3,2.1,2.45,2.15,2.57143,1.19097,0.8645,1.26074,1.25237,1.14593,1.30888,1.36277,adjetivo
adjudicación,2.35,2.45,2.27273,1.47619,2.15,2.45,1.86957,1.38697,1.09904,1.3159,0.87287,1.03999,1.14593,1.09977,adjudicacion
administración,2.2,2.05,1.59091,1.38095,1.75,2.05,2.04,1.23969,1.09904,0.85407,0.92066,1.01955,1.09904,1.05987,administracion
administrador,2.45,2.0,1.8,1.52381,1.85,2.2,2.04,1.31689,1.1239,1.19649,0.92839,0.9333,1.05631,1.17189,administrador
administrar,2.24,2.65,2.1,1.80952,2.05,2.7,2.3,1.26754,1.1821,1.25237,1.07792,1.09904,1.12858,1.08094,administrar
administrativa,2.35,2.2,2.0,1.3,1.68,2.05,1.65217,1.30888,1.00525,1.04447,0.57124,0.9,1.31689,1.0273,administrativa
admirable,4.77273,3.27273,4.15,3.55,3.7,4.2,3.7,0.52841,1.42032,1.08942,1.46808,1.30182,0.89443,1.12858,admirable
admiración,4.95,3.35,3.95,3.26316,4.05,4.0,3.45,0.22361,1.46089,1.23438,1.36797,1.05006,0.97333,1.09904,admiracion
admirado,4.15,3.55,3.48,3.3,3.45,4.1,3.15,1.13671,1.31689,1.44684,1.41793,0.99868,0.96791,1.26803,admirado
admirador,3.92,2.3,3.45,2.5,3.4,3.1,2.45,1.15181,1.30182,1.09904,1.19208,1.09545,1.02084,1.35627,admirador
admirar,4.25,3.18182,3.9,3.45,4.15,4.0,3.125,1.11316,1.29601,1.07115,1.2763,0.9333,0.8584,1.36135,admirar
admisible,2.35,3.3,2.7,2.42857,2.8,3.15,3.0,1.13671,1.30182,1.34164,1.39898,1.19649,1.1821,1.02598,admisible
admisión,3.35,3.85,3.1,2.28571,3.7,3.85714,3.5,1.08942,1.34849,1.44732,1.0556,1.34164,1.19523,1.10024,admision
admitir,3.25,3.65,2.7,2.6,2.55,2.8,3.05,1.48235,1.13671,1.26074,1.35336,1.2763,1.05631,1.31689,admitir
adolescencia,2.65,2.65,3.4,3.71429,2.75,2.95,1.6,1.53125,1.13671,1.31389,1.23056,1.44641,1.31689,0.75394,adolescencia
adolescente,2.25,2.0,3.09524,3.5,2.95,2.95238,2.25,1.48235,1.1239,1.26114,1.23544,1.2763,1.32198,0.96655,adolescente
adopción,3.45455,2.95,3.375,2.5,3.6,3.35,2.55,1.47122,1.43178,1.37722,1.46898,0.94032,1.49649,1.09904,adopcion
